Position X,Position Y,Position Z,Unit,Category,Collection,Time,ID
586.572,937.517,400.009,µm,Spot,Position,1,243
603.341,933.771,402.448,µm,Spot,Position,1,244
619.947,928.777,404.36,µm,Spot,Position,1,245
636.128,922.644,405.684,µm,Spot,Position,1,246
652.735,902.387,351.548,µm,Spot,Position,1,247
666.457,893.223,352.293,µm,Spot,Position,1,248
674.355,893.354,365.446,µm,Spot,Position,1,249
660.536,903.241,365.414,µm,Spot,Position,1,250
646.371,911.525,365.39,µm,Spot,Position,1,251
681.767,892.546,378.75,µm,Spot,Position,1,252
667.955,902.113,379.33,µm,Spot,Position,1,253
653.599,911.351,379.174,µm,Spot,Position,1,254
688.189,889.812,392.602,µm,Spot,Position,1,255
645.368,917.681,392.575,µm,Spot,Position,1,256
674.991,900.518,392.974,µm,Spot,Position,1,257
660.6,909.61,393.035,µm,Spot,Position,1,258
694.927,886.33,405.626,µm,Spot,Position,1,259
681.248,896.875,406.64,µm,Spot,Position,1,260
651.825,915.124,406.906,µm,Spot,Position,1,261
667.33,906.544,406.962,µm,Spot,Position,1,262
379.093,94.8967,411.517,µm,Spot,Position,1,263
367.432,99.4411,421.558,µm,Spot,Position,1,264
356.754,105.147,432.776,µm,Spot,Position,1,265
370.485,97.1852,438.695,µm,Spot,Position,1,266
359.713,103.66,449.2,µm,Spot,Position,1,267
374.606,96.3172,455.132,µm,Spot,Position,1,268
363.879,103.716,465.617,µm,Spot,Position,1,269
379.824,96.5862,471.73,µm,Spot,Position,1,270
420.302,77.6862,411.375,µm,Spot,Position,1,271
436.123,72.6428,416.345,µm,Spot,Position,1,272
393.467,87.6382,417.104,µm,Spot,Position,1,273
409.239,80.7945,422.657,µm,Spot,Position,1,274
424.902,75.5722,427.414,µm,Spot,Position,1,275
382.082,91.7402,427.841,µm,Spot,Position,1,276
441.433,71.1472,432.279,µm,Spot,Position,1,277
397.291,85.3092,433.116,µm,Spot,Position,1,278
413.454,79.2597,438.836,µm,Spot,Position,1,279
430.375,74.4314,443.92,µm,Spot,Position,1,280
385.89,90.2132,444.384,µm,Spot,Position,1,281
401.988,84.1191,449.894,µm,Spot,Position,1,282
418.552,79.1419,455.319,µm,Spot,Position,1,283
